name,definition,difficulty
günstig,,A1
das Haar,,A1
haben,,A1
halb,,A1
die Halbpension,,A1
die Halle,,A1
hallo,,A1
halten,,A1
die Haltestelle,,A1
die Hand,,A1
das Handy,,A1
das Haus,,A1
die Hausaufgabe,,A1
die Hausfrau,,A1
der Hausmann,,A1
die Heimat,,A1
heiraten,,A1
heißen,,A1
helfen,,A1
hell,,A1
der Herbst,,A1
der Herd,,A1
der Herr,,A1
herzlich,,A1
heut,,A1
heute,,A1
hier,,A1
die Hilfe,,A1
hinten,,A1
das Hobby,,A1
hoch,,A1
die Hochzeit,,A1
holen,,A1
das Hotel,,A1
der Hund,,A1
hundert,,A1
der Hunger,,A1
das Hähnchen,,A1
hören,,A1
ich,,A1
ihm,,A1
ihn,,A1
ihr,,A1
immer,,A1
in,,A1
die Information,,A1
international,,A1
das Internet,,A1
ja,,A1
die Jacke,,A1
das Jahr,,A1
der Januar,,A1
jede,,A1
jeder,,A1
jedes,,A1
jetzt,,A1
der Job,,A1
"die Jugendliche, der Jugendliche",,A1
der Juli,,A1
jung,,A1
der Junge,,A1
der Juni,,A1
der Kaffee,,A1
kaputt,,A1
die Karte,,A1
die Kartoffel,,A1
die Kasse,,A1
kaufen,,A1
kein,,A1
kennen,,A1
kennen lernen,,A1
kennenlernen,,A1
das Kilo,,A1
das Kilogramm,,A1
der Kilometer,,A1
das Kind,,A1
der Kindergarten,,A1
das Kino,,A1
der Kiosk,,A1
klar,,A1
die Klasse,,A1
die Kleidung,,A1
klein,,A1
kochen,,A1
der Koffer,,A1
der Kollege,,A1
kommen,,A1
das Konto,,A1
der Kopf,,A1
kosten,,A1
krank,,A1
die Kreditkarte,,A1
kriegen,,A1
der Kuchen,,A1
der Kugelschreiber,,A1
kulturell,,A1
der Kunde,,A1
die Kundin,,A1
der Kurs,,A1
kurz,,A1
können,,A1
die Küche,,A1
der Kühlschrank,,A1
kümmern,,A1
lachen,,A1
der Laden,,A1
das Land,,A1
lang,,A1
lange,,A1
langsam,,A1
laufen,,A1
laut,,A1
das Leben,,A1
leben,,A1
das Lebensmittel,,A1
ledig,,A1
legen,,A1
der Lehrer,,A1
leicht,,A1
leider,,A1
leise,,A1
lernen,,A1
lesen,,A1
letzt,,A1
Leute,,A1
das Licht,,A1
lieb,,A1
lieben,,A1
lieber,,A1
das Lied,,A1
liegen,,A1
links,,A1
"der Liter, das Liter",,A1
der LKW,,A1
der Lkw,,A1
das Lokal,,A1
lustig,,A1
die Lösung,,A1
machen,,A1
der Mai,,A1
man,,A1
der Mann,,A1
die Maschine,,A1
das Meer,,A1
mehr,,A1
mein,,A1
meist,,A1
der Mensch,,A1
der Meter,,A1
die Miete,,A1
mieten,,A1
die Milch,,A1
die Milliarde,,A1
die Million,,A1
die Minute,,A1
mit,,A1
mitbringen,,A1
mitkommen,,A1
mitmachen,,A1
der Mittag,,A1
die Mitte,,A1
der Mittwoch,,A1
der Moment,,A1
der Montag,,A1
der Morgen,,A1
morgen,,A1
der Mund,,A1
die Mutter,,A1
das Mädchen,,A1
männlich,,A1
der März,,A1
das Möbel,,A1
mögen,,A1
möglich,,A1
müde,,A1
müssen,,A1
nach,,A1
der Nachmittag,,A1
der Name,,A1
der Namen,,A1
nehmen,,A1
nein,,A1
neu,,A1
neun,,A1
neunzehn,,A1
neunzig,,A1
nicht,,A1
nichts,,A1
nie,,A1
noch,,A1
der Norden,,A1
normal,,A1
der November,,A1
die Nummer,,A1
nur,,A1
nächst,,A1
oben,,A1
das Obst,,A1
oder,,A1
oft,,A1
ohne,,A1
der Oktober,,A1
die Oma,,A1
der Opa,,A1
die Ordnung,,A1
der Ort,,A1
der Osten,,A1
das Papier,,A1
der Partner,,A1
die Partnerin,,A1
die Party,,A1
der Pass,,A1
die Pause,,A1
das Pfund,,A1
der Plan,,A1
der Platz,,A1
die Polizei,,A1
Pommes frites,,A1
die Post,,A1
die Postleitzahl,,A1
das Praktikum,,A1
die Praxis,,A1
der Preis,,A1
das Problem,,A1
der Prospekt,,A1
das Prozent,,A1
die Prüfung,,A1
pünktlich,,A1
der Quadratmeter,,A1
Rad fahren,,A1
rauchen,,A1
der Raum,,A1
die Rechnung,,A1
rechts,,A1
der Regen,,A1
regnen,,A1
der Reis,,A1
die Reise,,A1
das Reisebüro,,A1
der Reiseführer,,A1
reisen,,A1
die Reparatur,,A1
reparieren,,A1
das Restaurant,,A1
die Rezeption,,A1
richtig,,A1
riechen,,A1
rot,,A1
ruhig,,A1
die S-Bahn,,A1
der Saft,,A1
sagen,,A1
der Salat,,A1
das Salz,,A1
der Samstag,,A1
der Satz,,A1
scheinen,,A1
schicken,,A1
das Schild,,A1
der Schinken,,A1
schlafen,,A1
schlecht,,A1
schließen,,A1
der Schluss,,A1
der Schlüssel,,A1
schmecken,,A1
schnell,,A1
schon,,A1
der Schrank,,A1
schreiben,,A1
der Schuh,,A1
die Schule,,A1
schwarz,,A1
schwer,,A1
die Schwester,,A1
das Schwimmbad,,A1
schwimmen,,A1
schön,,A1
der Schüler,,A1
sechs,,A1
sechzehn,,A1
sechzig,,A1
der See,,A1
sehen,,A1
die Sehenswürdigkeit,,A1
sehr,,A1
sein,,A1
seit,,A1
die Sekunde,,A1
selbstständig,,A1
selbständig,,A1
der September,,A1
sich,,A1
Sie,,A1
sie,,A1
sieben,,A1
siebenzig,,A1
siebzehn,,A1
siebzig,,A1
sitzen,,A1
so,,A1
das Sofa,,A1
sofort,,A1
der Sohn,,A1
sollen,,A1
der Sommer,,A1
der Sonnabend,,A1
die Sonne,,A1
der Sonntag,,A1
die Speisekarte,,A1
die Speisenkarte,,A1
spielen,,A1
der Sport,,A1
die Sprache,,A1
sprechen,,A1
spät,,A1
später,,A1
die Stadt,,A1
stehen,,A1
die Stelle,,A1
stellen,,A1
der Stock,,A1
die Straße,,A1
die Straßenbahn,,A1
der Student,,A1
studieren,,A1
das Studium,,A1
die Stunde,,A1
suchen,,A1
der Süden,,A1
der Tag,,A1
tanzen,,A1
die Tasche,,A1
tausend,,A1
das Taxi,,A1
der Tee,,A1
"der Teil, das Teil",,A1
das Telefon,,A1
telefonieren,,A1
der Termin,,A1
der Test,,A1
teuer,,A1
der Text,,A1
das Thema,,A1
das Ticket,,A1
der Tisch,,A1
die Tochter,,A1
die Toilette,,A1
die Tomate,,A1
tot,,A1
treffen,,A1
die Treppe,,A1
