name,definition,difficulty
anstrengen,,B1
anstrengend,,B1
der Antrag,,B1
der Anwalt,,B1
anwenden,,B1
anwesend,,B1
die Anwältin,,B1
die Anzahl,,B1
anzeigen,,B1
die Aprikose,,B1
der Arbeiter,,B1
die Arbeiterin,,B1
die Arbeitserlaubnis,,B1
die Arbeitslosigkeit,,B1
die Arbeitsstelle,,B1
der Architekt,,B1
die Architektin,,B1
die Art,,B1
das Asyl,,B1
der Atem,,B1
atmen,,B1
der Aufenthalt,,B1
auffallen,,B1
auffordern,,B1
die Aufforderung,,B1
aufführen,,B1
aufgeben,,B1
aufhalten,,B1
aufheben,,B1
aufladen,,B1
auflösen,,B1
aufmerksam,,B1
die Aufnahme,,B1
aufnehmen,,B1
aufschreiben,,B1
der Auftrag,,B1
auftreten,,B1
der Auftritt,,B1
aufwachen,,B1
aufwärts,,B1
der Augenblick,,B1
ausbilden,,B1
der Ausdruck,,B1
ausdrucken,,B1
auseinander,,B1
die Ausfahrt,,B1
ausfallen,,B1
die Ausgabe,,B1
ausgezeichnet,,B1
die Aushilfe,,B1
die Ausländerin,,B1
die Ausnahme,,B1
ausreichen,,B1
ausrichten,,B1
ausschließen,,B1
ausschließlich,,B1
die Aussprache,,B1
ausstellen,,B1
aussuchen,,B1
die Auswahl,,B1
auswählen,,B1
der Autor,,B1
die Autorin,,B1
außen,,B1
der Backofen,,B1
das Backrohr,,B1
die Badewanne,,B1
das Ballett,,B1
der Bancomat,,B1
die Bancomatkarte,,B1
die Bankleitzahl,,B1
der Bankomat,,B1
die Bankomatkarte,,B1
die Bar,,B1
das Bargeld,,B1
der Bart,,B1
die Batterie,,B1
der Bau,,B1
der Bauer,,B1
der Bauernhof,,B1
beachten,,B1
die Beamtin,,B1
beantragen,,B1
der Bedarf,,B1
die Bedeutung,,B1
bedienen,,B1
die Bedienungsanleitung,,B1
die Bedingung,,B1
beeinflussen,,B1
befinden,,B1
befreit,,B1
befriedigend,,B1
begegnen,,B1
begeistert,,B1
der Beginn,,B1
begleiten,,B1
begrenzt,,B1
die Begründung,,B1
begrüßen,,B1
behalten,,B1
behandeln,,B1
behaupten,,B1
behindern,,B1
die Behörde,,B1
beinah,,B1
beinahe,,B1
der Beitrag,,B1
beißen,,B1
bekannt geben,,B1
bekanntgeben,,B1
der Beleg,,B1
beleidigen,,B1
bemerken,,B1
bemühen,,B1
das Benzin,,B1
benötigen,,B1
beobachten,,B1
die Beratung,,B1
berechnen,,B1
der Bereich,,B1
bereit,,B1
bereits,,B1
der Bericht,,B1
beruflich,,B1
berufstätig,,B1
beruhigen,,B1
beschließen,,B1
die Beschreibung,,B1
beschränken,,B1
beschädigen,,B1
beschäftigen,,B1
die Beschäftigung,,B1
besetzen,,B1
besonder,,B1
besorgen,,B1
besprechen,,B1
die Besprechung,,B1
die Besserung,,B1
bestimmt,,B1
bestrafen,,B1
die Bestätigung,,B1
beteiligen,,B1
der Betrag,,B1
betreuen,,B1
der Betreuer,,B1
die Betreuerin,,B1
die Betreuung,,B1
der Betrieb,,B1
der Betriebsrat,,B1
die Betriebsrätin,,B1
betrunken,,B1
betrügen,,B1
bevor,,B1
die Bevölkerung,,B1
der Beweis,,B1
beweisen,,B1
der Bewohner,,B1
die Bewohnerin,,B1
die Beziehung,,B1
bieten,,B1
der Bildschirm,,B1
das Billett,,B1
bio,,B1
bio-,,B1
die Biologie,,B1
biologisch,,B1
bisher,,B1
blass,,B1
blind,,B1
der Blitz,,B1
blitzen,,B1
bloß,,B1
bluten,,B1
blühen,,B1
der Boden,,B1
das Boot,,B1
die Botschaft,,B1
der Braten,,B1
brechen,,B1
die Bremse,,B1
bremsen,,B1
brennen,,B1
der Briefkasten,,B1
die Brieftasche,,B1
der Briefträger,,B1
die Briefträgerin,,B1
der Briefumschlag,,B1
die Broschüre,,B1
die Brust,,B1
das Brötli,,B1
der Bub,,B1
die Buchhandlung,,B1
das Buffet,,B1
die Burg,,B1
die Büchse,,B1
das Büfett,,B1
die Bühne,,B1
der Bürger,,B1
die Bürgerin,,B1
die Bürste,,B1
die Chance,,B1
chic,,B1
die Chipkarte,,B1
der Coiffeur,,B1
die Coiffeuse,,B1
die Couch,,B1
der Cousin,,B1
die Cousine,,B1
das Couvert,,B1
das Dach,,B1
daher,,B1
dahin,,B1
damit,,B1
danach,,B1
dankbar,,B1
darstellen,,B1
die Darstellung,,B1
dasselbe,,B1
Daten,,B1
die Dauer,,B1
dauernd,,B1
die Decke,,B1
dekorieren,,B1
das Denkmal,,B1
derselbe,,B1
das Dessert,,B1
desto,,B1
deswegen,,B1
das Detail,,B1
der Dialekt,,B1
der Dialog,,B1
dicht,,B1
der Dieb,,B1
dienen,,B1
der Dienst,,B1
dies,,B1
diese,,B1
dieselbe,,B1
dieser,,B1
dieses,,B1
diesmal,,B1
digital,,B1
das Diplom,,B1
der Direktor,,B1
die Direktorin,,B1
die Diskothek,,B1
die Diskussion,,B1
die Distanz,,B1
die Diät,,B1
die Doktorin,,B1
das Dokument,,B1
der Donner,,B1
donnern,,B1
doppel-,,B1
doppelt,,B1
die Dose,,B1
der Dreck,,B1
drehen,,B1
drin,,B1
die Droge,,B1
die Drogerie,,B1
der Druck,,B1
durcheinander,,B1
der Durchschnitt,,B1
durchschnittlich,,B1
durstig,,B1
duzen,,B1
eben,,B1
ebenfalls,,B1
ebenso,,B1
die EC-Karte,,B1
das Eck,,B1
eckig,,B1
die Ehe,,B1
das Ehepaar,,B1
eher,,B1
ehrlich,,B1
eignen,,B1
die Eile,,B1
eilen,,B1
ein paar,,B1
die Einbahnstraße,,B1
einbrechen,,B1
der Einbrecher,,B1
die Einbrecherin,,B1
der Einbruch,,B1
eindeutig,,B1
der Eindruck,,B1
einerseits,,B1
die Einfahrt,,B1
der Einfall,,B1
einfallen,,B1
der Einfluss,,B1
einfügen,,B1
einführen,,B1
die Einführung,,B1
einheitlich,,B1
einigen,,B1
der Einkauf,,B1
das Einkommen,,B1
die Einnahme,,B1
einnehmen,,B1
einrichten,,B1
die Einrichtung,,B1
einsam,,B1
einschalten,,B1
einschließlich,,B1
das Einschreiben,,B1
einsetzen,,B1
einstellen,,B1
eintreten,,B1
der Einwohner,,B1
die Einwohnerin,,B1
einzahlen,,B1
die Einzahlung,,B1
einzel-,,B1
die Einzelheit,,B1
einzig,,B1
die Eisenbahn,,B1
elegant,,B1
elektrisch,,B1
elektro-,,B1
elektronisch,,B1
der Empfang,,B1
empfangen,,B1
die Empfehlung,,B1
endgültig,,B1
die Energie,,B1
der Enkel,,B1
die Enkelin,,B1
entdecken,,B1
entfernen,,B1
die Entfernung,,B1
entgegenkommen,,B1
enthalten,,B1
entlang,,B1
entlassen,,B1
die Entlassung,,B1
entscheiden,,B1
die Entscheidung,,B1
entschließen,,B1
entschlossen,,B1
entsorgen,,B1
entspannen,,B1
entstehen,,B1
enttäuschen,,B1
die Enttäuschung,,B1
entweder,,B1
entwickeln,,B1
die Entwickelung,,B1
die Entwicklung,,B1
der Erdapfel,,B1
die Erde,,B1
ereignen,,B1
das Ereignis,,B1
erfahren,,B1
erfinden,,B1
die Erfindung,,B1
der Erfolg,,B1
erfolgreich,,B1
erforderlich,,B1
erfordern,,B1
erfüllen,,B1
ergänzen,,B1
erhalten,,B1
erholen,,B1
die Erholung,,B1
erhöhen,,B1
die Erhöhung,,B1
die Erinnerung,,B1
erkennen,,B1
die Erklärung,,B1
erkundigen,,B1
erkälten,,B1
die Erkältung,,B1
erleben,,B1
das Erlebnis,,B1
erledigen,,B1
erleichtern,,B1
ernst,,B1
ernsthaft,,B1
die Ernte,,B1
ernähren,,B1
die Ernährung,,B1
der Ersatz,,B1
erschrecken,,B1
erschöpft,,B1
ersetzen,,B1
erstellen,,B1
erwachsen,,B1
erwarten,,B1
erziehen,,B1
die Erziehung,,B1
die Erzählung,,B1
eröffnen,,B1
die Eröffnung,,B1
der Essig,,B1
die Etage,,B1
etwa,,B1
eventuell,,B1
ewig,,B1
der Experte,,B1
der Export,,B1
extra,,B1
extrem,,B1
die Fabrik,,B1
die Fachfrau,,B1
Fachleute,,B1
der Fachmann,,B1
die Fahrbahn,,B1
das Fahrzeug,,B1
fair,,B1
der Faktor,,B1
der Fall,,B1
falls,,B1
fangen,,B1
die Fantasie,,B1
farbig,,B1
das Faschierte,,B1
der Fasching,,B1
die Fasnacht,,B1
fassen,,B1
faulenzen,,B1
der Fauteuil,,B1
der Feber,,B1
das Feld,,B1
die Fernbedienung,,B1
das Fernsehen,,B1
der Fernseher,,B1
fest,,B1
festhalten,,B1
festlegen,,B1
festnehmen,,B1
die Festplatte,,B1
festsetzen,,B1
feststehen,,B1
feststellen,,B1
das Fett,,B1
feucht,,B1
die Feuerwehr,,B1
das Feuerzeug,,B1
die Figur,,B1
finanziell,,B1
finanzieren,,B1
der Finger,,B1
flach,,B1
der Fleck,,B1
der Fleischhauer,,B1
flexibel,,B1
fliehen,,B1
fließen,,B1
fließend,,B1
die Flucht,,B1
der Flur,,B1
die Fläche,,B1
die Flöte,,B1
die Flüssigkeit,,B1
die Folge,,B1
folgen,,B1
folgend,,B1
fordern,,B1
die Forderung,,B1
die Form,,B1
die Forschung,,B1
die Fortbildung,,B1
der Fortschritt,,B1
fortsetzen,,B1
die Fortsetzung,,B1
das Forum,,B1
der Fotograf,,B1
die Fotografie,,B1
frech,,B1
die Freiheit,,B1
die Fremdsprache,,B1
fressen,,B1
die Freude,,B1
die Freundschaft,,B1
der Friede,,B1
der Frieden,,B1
frieren,,B1
der Friseur,,B1
die Frist,,B1
die Frisur,,B1
der Frisör,,B1
die Frucht,,B1
fröhlich,,B1
das Fundbüro,,B1
funktionieren,,B1
der Fußgänger,,B1
die Fußgängerin,,B1
die Fußgängerzone,,B1
die Fähigkeit,,B1
die Fähre,,B1
fällig,,B1
färbig,,B1
fördern,,B1
führen,,B1
der Führerausweis,,B1
fürchten,,B1
füttern,,B1
die Galerie,,B1
der Gang,,B1
gar,,B1
die Garantie,,B1
garantieren,,B1
die Garderobe,,B1
das Gas,,B1
das Gasthaus,,B1
die Gaststätte,,B1
das Gebiet,,B1
das Gebirge,,B1
gebrauchen,,B1
die Gebrauchsanweisung,,B1
die Geburt,,B1
das Gebäck,,B1
das Gebäude,,B1
die Gebühr,,B1
der Gedanke,,B1
das Gedicht,,B1
die Geduld,,B1
geeignet,,B1
die Gefahr,,B1
das Gefängnis,,B1
das Gefühl,,B1
die Gegend,,B1
der Gegensatz,,B1
der Gegenstand,,B1
der Gegner,,B1
geheim,,B1
das Geheimnis,,B1
der Gehsteig,,B1
der Geldautomat,,B1
die Gelegenheit,,B1
gelingen,,B1
gelten,,B1
gemeinsam,,B1
die Gemeinschaft,,B1
gemütlich,,B1
genauso,,B1
genehmigen,,B1
die Generation,,B1
genießen,,B1
genügen,,B1
gerecht,,B1
gering,,B1
gesamt,,B1
geschehen,,B1
geschieden,,B1
das Geschlecht,,B1
der Geschmack,,B1
die Geschwindigkeit,,B1
die Geschwindigkeitsbeschränkung,,B1
die Gesellschaft,,B1
das Gesetz,,B1
gespannt,,B1
getrennt,,B1
die Gewalt,,B1
die Gewerkschaft,,B1
der Gewinn,,B1
das Gewissen,,B1
die Gewohnheit,,B1
gewohnt,,B1
gewöhnen,,B1
gewöhnlich,,B1
das Gewürz,,B1
gießen,,B1
das Gift,,B1
giftig,,B1
das Girokonto,,B1
die Glace,,B1
die Glacé,,B1
glatt,,B1
gleichberechtigt,,B1
gleichfalls,,B1
gleichzeitig,,B1
das Gold,,B1
das Golf,,B1
der Gott,,B1
die Grafik,,B1
die Graphik,,B1
das Gras,,B1
gratis,,B1
die Gratulation,,B1
greifen,,B1
die Grenze,,B1
der Grill,,B1
grillieren,,B1
der Grund,,B1
das Grundstück,,B1
gründen,,B1
gründlich,,B1
grüßen,,B1
gucken,,B1
die Gymnastik,,B1
das Hackfleisch,,B1
der Hafen,,B1
hageln,,B1
halbtags,,B1
das Hallenbad,,B1
der Halt,,B1
halt,,B1
haltbar,,B1
der Hammer,,B1
der Handel,,B1
handeln,,B1
der Handwerker,,B1
hassen,,B1
haupt-,,B1
der Hauptbahnhof,,B1
der Hausmeister,,B1
die Hausmeisterin,,B1
das Haustier,,B1
die Haut,,B1
heben,,B1
das Heim,,B1
heim,,B1
heimlich,,B1
das Heimweh,,B1
heizen,,B1
der Held,,B1
die Heldin,,B1
das Henderl,,B1
das Hendl,,B1
herausfinden,,B1
die Herausforderung,,B1
herein-,,B1
die Herkunft,,B1
der Hersteller,,B1
herunterfahren,,B1
das Herz,,B1
hieher,,B1
hierher,,B1
hinter-,,B1
hinterher,,B1
hinterlassen,,B1
der Hinweis,,B1
hinweisen,,B1
historisch,,B1
die Hitze,,B1
hochladen,,B1
der Hof,,B1
die Hoffnung,,B1
das Holz,,B1
der Honig,,B1
der Humor,,B1
hungrig,,B1
hupen,,B1
der Husten,,B1
der Hut,,B1
die Hälfte,,B1
der Händler,,B1
die Händlerin,,B1
häufig,,B1
höchstens,,B1
höflich,,B1
die Höhe,,B1
der Hörer,,B1
die Hörerin,,B1
hübsch,,B1
der Hügel,,B1
das Hühnchen,,B1
die Hütte,,B1
ideal,,B1
illegal,,B1
der Imbiss,,B1
der Import,,B1
indem,,B1
individuell,,B1
die Industrie,,B1
die Infektion,,B1
der Ingenieur,,B1
der Inhalt,,B1
inklusive,,B1
innen,,B1
inner,,B1
innerhalb,,B1
das Inserat,,B1
insgesamt,,B1
installieren,,B1
das Institut,,B1
die Integration,,B1
integrieren,,B1
die Intelligenz,,B1
intensiv,,B1
der Intensivkurs,,B1
interessant,,B1
interessiert,,B1
interkulturell,,B1
inzwischen,,B1
irgendein,,B1
irgendwann,,B1
irren,,B1
die Jause,,B1
je,,B1
jederzeit,,B1
jedes Mal,,B1
jedoch,,B1
jemals,,B1
jeweils,,B1
der Journalist,,B1
die Journalistin,,B1
die Jugend,,B1
das Kabel,,B1
die Kabine,,B1
das Kaffeehaus,,B1
der Kakao,,B1
der Kampf,,B1
der Kanal,,B1
der Kandidat,,B1
die Kanne,,B1
die Kantine,,B1
das Kapitel,,B1
kaputt machen,,B1
kaputtgehen,,B1
kaputtmachen,,B1
der Karneval,,B1
die Karotte,,B1
die Karriere,,B1
die Kassette,,B1
der Kasten,,B1
der Katalog,,B1
die Katastrophe,,B1
der Kauf,,B1
kaum,,B1
der Kellner,,B1
die Kellnerin,,B1
das Kennzeichen,,B1
die Kerze,,B1
die Kindheit,,B1
das Kissen,,B1
die Kiste,,B1
klagen,,B1
klasse,,B1
die Klassenarbeit,,B1
kleben,,B1
klettern,,B1
"der Klick, das Klick",,B1
klicken,,B1
das Klima,,B1
die Klimaanlage,,B1
die Klingel,,B1
klingeln,,B1
klingen,,B1
die Klinik,,B1
klopfen,,B1
der Kloß,,B1
klären,,B1
knapp,,B1
die Kneipe,,B1
das Knie,,B1
der Knochen,,B1
der Knopf,,B1
der Knödel,,B1
der Koch,,B1
die Kommunikation,,B1
komplett,,B1
kompliziert,,B1
der Kompromiss,,B1
die Konferenz,,B1
die Konfitüre,,B1
der Konflikt,,B1
die Konkurrenz,,B1
das Konsulat,,B1
der Konsum,,B1
konsumieren,,B1
die Kontrolle,,B1
konzentrieren,,B1
die Kopie,,B1
kopieren,,B1
der Kopierer,,B1
korrekt,,B1
der Korridor,,B1
korrigieren,,B1
Kosten,,B1
das Kostüm,,B1
die Kraft,,B1
das Kraftfahrzeug,,B1
das Kraftwerk,,B1
"die Kranke, der Kranke",,B1
der Krankenpfleger,,B1
die Krankenschwester,,B1
der Krankenwagen,,B1
kreativ,,B1
der Kreis,,B1
das Kreuz,,B1
der Krieg,,B1
die Kriminalpolizei,,B1
die Krise,,B1
die Kritik,,B1
kritisch,,B1
kritisieren,,B1
kräftig,,B1
der Kuli,,B1
der Kunststoff,,B1
der Kursleiter,,B1
die Kursleiterin,,B1
die Kurve,,B1
die Kusine,,B1
der Kuss,,B1
das Kuvert,,B1
die Kälte,,B1
kämpfen,,B1
der Käufer,,B1
die Käuferin,,B1
die Köchin,,B1
der König,,B1
körperlich,,B1
die Kündigung,,B1
der Künstler,,B1
die Künstlerin,,B1
künstlich,,B1
kürzlich,,B1
küssen,,B1
die Küste,,B1
die Lage,,B1
das Lager,,B1
landen,,B1
die Landung,,B1
die Landwirtschaft,,B1
die Langeweile,,B1
die Langweile,,B1
langweilen,,B1
der Laster,,B1
das Laufwerk,,B1
die Laune,,B1
der Lautsprecher,,B1
der Lebenslauf,,B1
lecker,,B1
das Leder,,B1
die Lehre,,B1
die Lehrerin,,B1
der Lehrling,,B1
die Lehrstelle,,B1
leiden,,B1
leisten,,B1
die Leistung,,B1
leiten,,B1
die Leiter,,B1
der Leiter,,B1
die Leiterin,,B1
die Leitung,,B1
der Lerner,,B1
die Lernerin,,B1
der Leser,,B1
die Leserin,,B1
das Lexikon,,B1
die Lieferung,,B1
der Lift,,B1
die Limonade,,B1
die Linie,,B1
link,,B1
die Lippe,,B1
die Liste,,B1
die Literatur,,B1
loben,,B1
das Loch,,B1
locker,,B1
der Lohn,,B1
lohnen,,B1
los,,B1
losfahren,,B1
die Luft,,B1
lächeln,,B1
die Länge,,B1
längst,,B1
der Lärm,,B1
löschen,,B1
lösen,,B1
das Magazin,,B1
mager,,B1
die Mahlzeit,,B1
die Mahnung,,B1
das Mal,,B1
der Maler,,B1
die Malerin,,B1
der Mangel,,B1
die Mappe,,B1
die Margarine,,B1
die Marille,,B1
die Marke,,B1
markieren,,B1
die Marmelade,,B1
das Material,,B1
die Matura,,B1
die Mauer,,B1
maximal,,B1
der Mechaniker,,B1
die Mechanikerin,,B1
das Medium,,B1
die Medizin,,B1
das Mehl,,B1
mehrere,,B1
die Mehrheit,,B1
die Mehrwertsteuer,,B1
meinetwegen,,B1
der Meister,,B1
melden,,B1
die Meldung,,B1
die Mensa,,B1
menschlich,,B1
das Menü,,B1
merkwürdig,,B1
messen,,B1
das Metall,,B1
die Methode,,B1
die Metropole,,B1
der Metzger,,B1
der Mieter,,B1
die Mieterin,,B1
der Migrant,,B1
die Migrantin,,B1
die Migration,,B1
mild,,B1
die Minderheit,,B1
minimal,,B1
mischen,,B1
miss-,,B1
die Mitarbeiterin,,B1
miteinander,,B1
das Mitglied,,B1
mitteilen,,B1
mitten,,B1
mittler,,B1
mittlerweile,,B1
mobil,,B1
die Mobilbox,,B1
die Mobilität,,B1
das Modell,,B1
der Mond,,B1
der Monitor,,B1
das Motorrad,,B1
musikalisch,,B1
der Musiker,,B1
die Musikerin,,B1
der Muskel,,B1
der Mut,,B1
mutig,,B1
die Muttersprache,,B1
das Märchen,,B1
möbliert,,B1
möglicherweise,,B1
die Möglichkeit,,B1
möglichst,,B1
die Möhre,,B1
das Müesli,,B1
die Mühe,,B1
die Müllabfuhr,,B1
die Mülltonne,,B1
mündlich,,B1
die Münze,,B1
das Müsli,,B1
nachdem,,B1
nachdenken,,B1
die Nachfrage,,B1
nachher,,B1
die Nachhilfe,,B1
nachschlagen,,B1
die Nachspeise,,B1
die Nacht,,B1
der Nachteil,,B1
der Nachwuchs,,B1
die Nadel,,B1
der Nagel,,B1
nah,,B1
nahe,,B1
das Nahrungsmittel,,B1
die Nase,,B1
national,,B1
der Nebel,,B1
nebenbei,,B1
der Neffe,,B1
negativ,,B1
der Nerv,,B1
das Netz,,B1
das Netzwerk,,B1
neugierig,,B1
die Neuigkeit,,B1
neulich,,B1
die Nichte,,B1
"der Nichtraucher, die Nichtraucherin",,B1
niedrig,,B1
nirgendwo,,B1
noch mal,,B1
nochmal,,B1
nochmals,,B1
die Nordsee,,B1
normalerweise,,B1
die Not,,B1
die Notaufnahme,,B1
der Notausgang,,B1
der Notfall,,B1
der Notruf,,B1
nun,,B1
nutzen,,B1
nähen,,B1
nähern,,B1
nämlich,,B1
nötig,,B1
nützen,,B1
ob,,B1
der Ober,,B1
ober-,,B1
das Obers,,B1
obwohl,,B1
der Ofen,,B1
offenbar,,B1
offiziell,,B1
der Onkel,,B1
die Oper,,B1
die Operation,,B1
operieren,,B1
das Opfer,,B1
optimistisch,,B1
das Orchester,,B1
ordentlich,,B1
die Ordination,,B1
ordnen,,B1
der Ordner,,B1
die Organisation,,B1
das Original,,B1
original,,B1
die Ostsee,,B1
der Ozean,,B1
die Panne,,B1
der Paradeiser,,B1
parallel,,B1
parkieren,,B1
der Passagier,,B1
die Passagierin,,B1
passiv,,B1
der Patient,,B1
die Patientin,,B1
pauschal,,B1
das Pech,,B1
peinlich,,B1
die Pension,,B1
pensionieren,,B1
der Pensionist,,B1
die Pensionistin,,B1
per,,B1
perfekt,,B1
der Perron,,B1
das Personal,,B1
die Personalie,,B1
der Personenstand,,B1
persönlich,,B1
die Pfanne,,B1
der Pfeffer,,B1
pflanzen,,B1
das Pflaster,,B1
die Pflaume,,B1
pflegen,,B1
der Pfleger,,B1
die Pflegerin,,B1
die Pflicht,,B1
die Phantasie,,B1
der Photograph,,B1
die Photographie,,B1
das Picknick,,B1
die Pille,,B1
der Pilz,,B1
die Planung,,B1
"das Plastik, der Plastik",,B1
die Politik,,B1
der Politiker,,B1
die Politikerin,,B1
politisch,,B1
der Polizist,,B1
die Polizistin,,B1
populär,,B1
das Portemonnaie,,B1
das Portmonee,,B1
positiv,,B1
das Poulet,,B1
der Praktikant,,B1
die Praktikantin,,B1
prima,,B1
die Produktion,,B1
produzieren,,B1
der Professor,,B1
die Professorin,,B1
der Profi,,B1
der Profisportler,,B1
die Profisportlerin,,B1
prost,,B1
der Protest,,B1
protestieren,,B1
der Prozess,,B1
die Präsentation,,B1
präsentieren,,B1
das Publikum,,B1
der Punkt,,B1
die Puppe,,B1
die Qualifikation,,B1
das Quartier,,B1
quer,,B1
die Quittung,,B1
der Rabatt,,B1
der Radfahrer,,B1
die Radfahrerin,,B1
der Rahm,,B1
der Rand,,B1
der Rasen,,B1
rasieren,,B1
der Rat,,B1
der Ratschlag,,B1
"der Raucher, das Raucher",,B1
die Raucherin,,B1
rauf,,B1
rauf-,,B1
raus-,,B1
reagieren,,B1
die Reaktion,,B1
realisieren,,B1
realistisch,,B1
die Realität,,B1
die Recherche,,B1
der Rechner,,B1
das Recht,,B1
rechtlich,,B1
rechtzeitig,,B1
die Rede,,B1
reduzieren,,B1
das Referat,,B1
die Reform,,B1
das Regal,,B1
die Regel,,B1
regelmäßig,,B1
regeln,,B1
die Region,,B1
regional,,B1
reichen,,B1
reif,,B1
die Reihenfolge,,B1
reinigen,,B1
die Reklame,,B1
der Rekord,,B1
relativ,,B1
die Religion,,B1
rennen,,B1
die Rente,,B1
die Reportage,,B1
der Reporter,,B1
die Reporterin,,B1
die Reservierung,,B1
der Respekt,,B1
retten,,B1
der Richter,,B1
die Richterin,,B1
die Richtung,,B1
riesig,,B1
das Risiko,,B1
roh,,B1
das Rohr,,B1
die Rolle,,B1
der Roman,,B1
die Rufnummer,,B1
die Runde,,B1
die Rundfahrt,,B1
runterwerfen,,B1
rück-,,B1
die Rückfahrt,,B1
die Rückkehr,,B1
rückwärts,,B1
der Saal,,B1
der Sack,,B1
die Sahne,,B1
die Saison,,B1
die Salbe,,B1
der Salon,,B1
salzig,,B1
der Sand,,B1
satt,,B1
die Sauce,,B1
die Schachtel,,B1
der Schade,,B1
der Schaden,,B1
schaden,,B1
schalten,,B1
der Schatten,,B1
schauen,,B1
das Schaufenster,,B1
der Schauspieler,,B1
die Schauspielerin,,B1
die Scheibe,,B1
scheiden,,B1
die Scheidung,,B1
der Schein,,B1
der Schi,,B1
schick,,B1
schieben,,B1
schief,,B1
schießen,,B1
der Schlaf,,B1
das Schlagobers,,B1
der Schlagrahm,,B1
die Schlagsahne,,B1
die Schlange,,B1
schlank,,B1
schließlich,,B1
schmal,,B1
das Schmerzmittel,,B1
schminken,,B1
der Schmuck,,B1
der Schmutz,,B1
der Schnupfen,,B1
der Schreck,,B1
der Schrecken,,B1
das Schreiben,,B1
schreien,,B1
die Schrift,,B1
der Schriftsteller,,B1
die Schriftstellerin,,B1
der Schritt,,B1
die Schularbeit,,B1
die Schuld,,B1
schuld,,B1
schuldig,,B1
die Schulter,,B1
der Schutz,,B1
"der Schwammerl, das Schwammerl",,B1
die Schwangerschaft,,B1
schweigen,,B1
schwieger-,,B1
die Schwierigkeit,,B1
schwitzen,,B1
schätzen,,B1
die Schüssel,,B1
schütteln,,B1
schützen,,B1
seitdem,,B1
der Sekretär,,B1
die Sekretärin,,B1
selb,,B1
selber,,B1
selbstverständlich,,B1
selten,,B1
seltsam,,B1
das Semester,,B1
das Seminar,,B1
die Semmel,,B1
senden,,B1
der Sender,,B1
der Senior,,B1
die Seniorin,,B1
senkrecht,,B1
die Serie,,B1
"die Serviceangestellte, der Serviceangestellte",,B1
der Sessel,,B1
sicher,,B1
die Sicherheit,,B1
sichern,,B1
sichtbar,,B1
der Sieg,,B1
siegen,,B1
der Sieger,,B1
die Siegerin,,B1
siezen,,B1
sinken,,B1
der Sinn,,B1
sinnlos,,B1
sinnvoll,,B1
der Sitz,,B1
der Ski,,B1
so dass,,B1
so genannt,,B1
so viel,,B1
sobald,,B1
die Socke,,B1
sodass,,B1
sogenannt,,B1
solange,,B1
solch,,B1
sonder-,,B1
das Sonderangebot,,B1
sondern,,B1
die Sorge,,B1
sorgen,,B1
das Souvenir,,B1
soviel,,B1
sowieso,,B1
sowohl,,B1
sozial,,B1
der Sozialarbeiter,,B1
die Sozialarbeiterin,,B1
die Soße,,B1
sparsam,,B1
spazieren gehen,,B1
die Speise,,B1
der Speisewagen,,B1
spezial-,,B1
der Spezialist,,B1
die Spezialistin,,B1
speziell,,B1
der Spiegel,,B1
der Spieler,,B1
die Spielerin,,B1
der Spielplatz,,B1
das Spielzeug,,B1
spitz,,B1
die Sportart,,B1
der Sportler,,B1
die Sportlerin,,B1
springen,,B1
die Spritze,,B1
die Spur,,B1
spätestens,,B1
spülen,,B1
spüren,,B1
das Stadion,,B1
stammen,,B1
der Standpunkt,,B1
der Start,,B1
starten,,B1
die Station,,B1
die Statistik,,B1
statistisch,,B1
statt,,B1
der Stau,,B1
der Staub,,B1
Staub saugen,,B1
staubsaugen,,B1
stechen,,B1
die Steckdose,,B1
stecken,,B1
der Stecker,,B1
stehen bleiben,,B1
stehenbleiben,,B1
stehlen,,B1
steigen,,B1
steil,,B1
der Stein,,B1
der Stempel,,B1
der Stern,,B1
die Steuer,,B1
der Steward,,B1
die Stewardess,,B1
die Stiege,,B1
das Stiegenhaus,,B1
der Stil,,B1
stilistisch,,B1
still,,B1
die Stimme,,B1
stimmen,,B1
die Stimmung,,B1
stinken,,B1
der Stoff,,B1
stolz,,B1
stoppen,,B1
strafbar,,B1
die Strafe,,B1
der Strafzettel,,B1
die Strecke,,B1
das Streichholz,,B1
der Streik,,B1
streiken,,B1
der Streit,,B1
der Strom,,B1
der Strumpf,,B1
die Studie,,B1
"die Studierende, der Studierende",,B1
das Studio,,B1
die Stufe,,B1
stumm,,B1
der Sturm,,B1
städtisch,,B1
ständig,,B1
die Störung,,B1
stürzen,,B1
die Sucht,,B1
das Suchtmittel,,B1
die Summe,,B1
das Symbol,,B1
das System,,B1
die Szene,,B1
sämtlich,,B1
der Sänger,,B1
die Sängerin,,B1
süchtig,,B1
die Tabelle,,B1
der Tagesablauf,,B1
das Tal,,B1
das Talent,,B1
tanken,,B1
die Tankstelle,,B1
die Tante,,B1
der Tanz,,B1
das Taschentuch,,B1
die Tastatur,,B1
die Taste,,B1
die Tat,,B1
die Tatsache,,B1
tatsächlich,,B1
taub,,B1
tauchen,,B1
die Technik,,B1
technisch,,B1
die Technologie,,B1
die Teilnahme,,B1
der Teilnehmer,,B1
die Teilnehmerin,,B1
teilweise,,B1
die Teilzeit,,B1
die Temperatur,,B1
das Tempo,,B1
